Name,Prerequisite,Benefit,Special,Source Book,PDF Page
Appraise Magic Value,"Appraise 5 ranks, Knowledge (arcana) 5 ranks, Spellcraft 5 ranks",Use Appraise to determine magic item properties,,Complete Adventurer,
Arcane Accompaniment,"Perform 4 ranks, Arcane Flourish, arcane caster level 1st, bardic music",Expend prepared spell or spell slot to extend duration of bardic music,,Player's Handbook II,
Arcane Consumption,"Arcane Toughness, Toughness, arcane caster level 6th","\+2 save DC for one spell, Con penalty for 12 hours and fatigued",,Player's Handbook II,
Arcane Defense,Spell Focus in specific school,\+3 bonus on saves against specific school of magic,Multiple,Complete Arcane,
Arcane Defense,Spell Focus,,Multiple,Tome and Blood,
Arcane Disciple,"Knowledge (religion) 4 ranks, Spellcraft 4 ranks, deity's alignment",Add spells from a domain to your class list,Multiple,Complete Divine,
Arcane Flourish,"Perform 4 ranks, arcane caster level 1st",Expend spell to gain bonus on Perform check,,Player's Handbook II,
Arcane Mastery,"Ability to cast arcane spells, use invocations, or use spell-like abilities",Take 10 on caster level checks,,Complete Arcane,
Arcane Preparation,Ability to case arcane spells without preparation,Prepare arcane spells ahead of time for faster metamagic casting,,Complete Arcane,
Arcane Preparation,Able to cast arcane spells without preparation,,,Tome and Blood,
Arcane Strike,"Ability to cast 3rd-level arcane spells, base attack bonus +4",Sacrifice a spell for +1 on attacks and +1d4 damage per level of the spell,,Complete Warrior,
Arcane Thesis,"Knowledge (arcana) 9 ranks, ability to cast arcane spells","\+2 caster level, cheaper metamagic with one spell",Multiple,Player's Handbook II,
Arcane Toughness,"Toughness, arcane caster level 3rd",Expend prepared spell or spell slot to heal when at or below 0 hit points,,Player's Handbook II,
Archivist of Nature,Dark knowledge class feature,Dark knowledge works on giants and fey,,Heroes of Horror,
Armor Proficiency (heavy),Armor Proficiency (medium),No armor check penalty on attack rolls,,Player's Handbook,
Armor Proficiency (light),-,No armor check penalty on attack rolls,,Player's Handbook,
Armor Proficiency (medium),Armor Proficiency (light),No armor check penalty on attack rolls,,Player's Handbook,
Armor Specialization,"Proficiency with selected armor type, base attack bonus +12",DR 2/- with chosen armor,"Fighter Feat, Multiple",Player's Handbook II,
Arterial Strike,"Sneak attack ability, base attack bonus +4",Trade 1d6 sneak attack damage for 1 point of damage per round,,Complete Warrior,
Ascetic Hunter,"Improved Unarmed Strike, favored enemy","Monk and ranger levels stack for unarmed strike damage, favored enemy bonus improves stunning DC",,Complete Adventurer,
Ascetic Knight,"Improved Unarmed Strike, smite evil",Monk and paladin levels stack for unarmed strike and smite evil damage,,Complete Adventurer,
Ascetic Mage,"Improved Unarmed Strike, spontaneous 2nd-level arcane spells","Monk and sorcerer levels stack for AC bonus (Cha-based), sacrifice spell to gain bonus on unarmed strike",,Complete Adventurer,
Ascetic Rogue,"Improved Unarmed Strike, sneak attack","Monnk and rogue levels stack for sneak attack damage, unarmed strike sneak attack gains improved stunning DC",,Complete Adventurer,
Ascetic Stalker,"Ki power, ki strike (magic)",Monk and ninja levels stack for unarmed strike damage and ki pool,Monk Feat,Complete Scoundrel,
Athletic,-,\+2 bonus on Climb and Swim checks,,Player's Handbook,
Augment Healing,Heal 4 ranks,Healing spells do +2 per spell level,,Complete Divine,
Augment Summoning,Spell Focus (conjuration),"Summoned creatures gain +4 Str, +4 Con",,Player's Handbook,
Augmented Summoning,Spellcaster level 2nd+,,,Tome and Blood,
Auspicious Marking,Goliath,Gain +2 bonus on Charisma checks against goliaths and reroll stabilization checks,,Races of Stone,
Autonomous,-,\+2 bonus on Autohypnosis and Knowledge (psionics) checks,,Expanded Psionics Handbook,
Avenging Strike,Any good alignment,Add Cha bonus on attack and damage against an evil outsider a few times per day,,Tome of Battle,
Axiomatic Strike,"Ki strike (lawful), Stunning Fist",\+2d6 unarmed damage against chaotic opponent,,Complete Warrior,
Ballista Proficiency,-,No -4 penalty on attack rolls with ballistae,Fighter Feat,Heroes of Battle,
Bane Magic,-,Spells deal 2d6 extra damage to specific creature type,,Heroes of Horror,
Battle Blessing,Ability to cast paladin spells,Cast paladin spells more quickly,,Complete Champion,
Battle Caster,Ability to ignore arcane spell failure chance from armor,Ignore arcane spell failure chance from heavier armor,,Complete Arcane,
Battle Casting,"Dex 13, Concentration 5 ranks, Combat Casting",\+2 dodge bonus while casting spells,,Races of the Wild,
Battle Dancer,"Base attack bonus +2, bardic music",\+2 on attacks while moving and using bardic music,Fighter Feat,Player's Handbook II,
Battle Hardened,"Dwarf, base attack bonus +4","Gain +4 bonus on saves against fear, +2 bonus on initiative",,Races of Stone,
Battlefield Inspiration,Cha 13,Allies get +2 bonus on saves against fear effects,Stackable,Miniatures Handbook,
Bind Vestige,-,Gain one power from chosen 1st-level vestige,,Tome of Magic,
"Bind Vestige, Improved",Bind Vestige,Bind one vestige of up to 5th level,,Tome of Magic,
Blade Meditation,"Concentration 1 rank, base attack bonus +4, one martial maneuver from any discipline","\+1 damage on strikes, +2 on skill check, +1 save DC with discipline-related weapons, skills, and maneuvers",Fighter Feat,Tome of Battle,
Blind-Fight,-,Reroll miss chance for concealment,Fighter Feat,Player's Handbook,
Block Arrow,"Dex 13, Shield Proficiency",Deflect one ranged attack per round with shield,Fighter Feat,Heroes of Battle,
Blood Calls to Blood,"Spontaneous arcane caster, fiend ancestor",\+2 save bonus against attacks from fiends,,Heroes of Horror,
Bonded Familiar,Familiar,You and familiar shift damage after deadly attack,,Player's Handbook II,
Book Spell Resistance,Any evil alignment,,,Book of Vile Darkness,
Boost Spell-Like Ability,-,,Stackable,Book of Vile Darkness,
Born Flyer,Dex 13,\+4 bonus on saves and checks to maneuver when aloft,,Races of the Wild,
Bounding Assault,"Dex 13, Dodge, Mobility, Spring Attack, base attack bonus +12",Attack twice while using Spring Attack,,Player's Handbook II,
Brachiation,"Climb 4 ranks, Jump 4 ranks",Swing through trees at normal land speed,,Complete Adventurer,
Bright Sigil,Illumian,You can increase the illumination from your sigils,,Races of Destiny,
Brutal Strike,"Str 13, Power Attack, base attack bonus +6",Daze opponent with successful bludgeoning attack,Fighter Feat,Player's Handbook II,
Brutal Throw,-,Use Str rather than Dex to attack rolls with thrown weapons,Fighter Feat,Complete Adventurer,
Burrow Friend,"Gnome, Cha 13",Gain +2 bonus on Handle Animal and wild empathy checks with burrowing animals,,Races of Stone,
Captivating Melody,"Bardic music, ability to cast arcane spells",Expend bardic music to increase the save DC of an enchantment or illusion spell,,Complete Mage,
Catfolk Pounce,"Catfolk, Dex 13",Gain full attack against a flat-footed target on a charge,Fighter Feat,Races of the Wild,
Celestial Summoning Specialist,"Knowledge (the planes) 2 ranks, Knowledge (religion) 2 ranks, nonevil alignment, summon monster ability",Summon additional good-aligned creatures,,Planar Handbook,
Centaur Trample,"Centaur, Dex 15",Gain a hoof attack against foes you overrun,Fighter Feat,Races of the Wild,
Channeled Rage,"Half-orc, ability to rage",Use rage to improve Will saves,,Races of Destiny,
Chaotic Mind,"Chaotic alignment, Cha 15",Psionic insight bonuses of foes are nullified,,Expanded Psionics Handbook,
City Slicker,1st level only,Certain skills are class skills for you,,Races of Destiny,
Clan Prestige,"Dwarf, Cha 13",Gain +4 bonus on Charisma checks against members of the same clan,,Races of Stone,
Cleave,Power Attack,Extra melee attack after dropping target,Fighter Feat,Player's Handbook,
Clever Wrestling,"Small or Medium size, Improved Unarmed Strike",Gain circumstance bonus to escape grapple or pin,,Complete Warrior,
Clever Wrestling,"Improved Unarmed Strike, size Small or Medium",Escape grapple or pin more easily,,Draconomicon,
Cloak Dance,"Hide 10 ranks, Perform (dance) 2 ranks",Spend an action to gain concealment,,Expanded Psionics Handbook,
Close-Quarters Fighting,Base attack onus +3,Use counterattack to resist grapple,Fighter Feat,Complete Warrior,
Close-Quarters Fighting,Base attack bonus +3,Avoid being grappled more easily,,Draconomicon,
Closed Mind,-,Gain resistance to all psionic power,,Expanded Psionics Handbook,
Cloudy Conjuration,Spell Focus (conjuration) or conjurer level 1st,Conjurations accompanied by a cloud of sickening smoke,Wizard Feat,Complete Mage,
Combat Acrobat,"Balance 9 ranks, Tumble 9 ranks",Gain new uses for Balance skill,Fighter Feat,Player's Handbook II,
Combat Casting,-,\+4 bonus on Concentration checks for defensive casting,,Player's Handbook,
Combat Expertise,Int 13,Trade attack bonus for AC (max 5 points),Fighter Feat,Player's Handbook,
Combat Familiar,"Arcane caster level 1st, familiar",Familiar enters foe's square without provoking attack,,Player's Handbook II,
Combat Intuition,"Sense Motive 4 ranks, base attack bonus +5",\+1 to attack opponent you engaged in preceding round,Fighter Feat,Complete Adventurer,
Combat Reflexes,-,Additional attacks of opportunity,"Fighter Feat, Monk Feat",Player's Handbook,
Combat Tactician,"Dex 13, Dodge, base attack bonus +12",\+2 on damage against foe you approach and attack,,Player's Handbook II,
Combat Tinkering,-,\+4 bonus on Concentration when using Disable Device or Open Lock; +4 bonus when quickening Disable Deice or Open Lock,,Dungeonscape,
Cometary Collision,"Str 13, Improved Bull Rush, Power Attack",Ready action to slam into charging foe,Fighter Feat,Player's Handbook II,
Communicator,-,"Use arcane mark, message, comprehend languages as spell-like abilities 1/day",,Complete Arcane,
Companion Spellbond,Animal companion,Share spells with companion at greater range,,Player's Handbook II,
Complementary Insight,Half-elf,Increase bonus range from skill synergy to +3,,Races of Destiny,
Consecrate Spell-Like Ability,Any good alignment,Adds good descriptor to spell-like ability,,Book of Exalted Deeds,
Cool Head,Any two mental skill tricks,Learn two mental skill tricks and increase skill trick limit by one,,Complete Scoundrel,
Coordinated Shot,"Point Blank Shot, Precise Shot",Your ranged attacks ignore cover from allies,Fighter Feat,Heroes of Battle,
Coordinated Strike,"Animal companion or special mount class feature, Handle Animal 5 ranks",\+1 bonus on attacks when your animal companion or special mount attacks the same target,,Races of the Wild,
Corrupt Spell Focus,Nongood alignment,\+1 save DC for all corrupt spells you cast,,Heroes of Horror,
Corrupt Spell-Like Ability,Any evil alignment,,Multiple,Book of Vile Darkness,
Courageous Rally,Bardic music (inspire courage) class feature,Make free rally check when you inspire courage,,Heroes of Battle,
Crossbow Sniper,"Proficiency with hand, heavy, or light crossbow, Weapon Focus with hand, heavy, or light crossbow, base attack bonus +1","Half Dexterity bonus on crossbow damage, 60 ft. skirmish or sneak attack",Fighter Feat,Player's Handbook II,
Crushing Strike ,"Proficiency with bludgeoning weapon, Weapon Focus with a bludgeoning weapon, Melee Weapon Mastery (bludgeoning), Weapon Specialization with a bludgeoning weapon, base attack bonus +14",\+1 on attacks per previous hit with bludgeon,,Player's Handbook II,
Cunning Evasion,"Hide 9 ranks, evasion",Hide and move immediately after using evasion,,Player's Handbook II,
Cunning Sidestep,"Improved Unarmed Strike, Clever Wrestling, size small or Medium",Avoid a bull rush or trip attack more easily,,Draconomicon,
Dallah Thaun's Luck,"Halfling, Cha 13",Gain +5 bonus on saving throw per day,,Races of the Wild,
Dampen Spell,Improved Counterspell,Reduce your save DC against foe's spell by expending spell or slot as immediate action,,Player's Handbook II,
Danger Sense,Improved Initiative,Reroll initiative once per day,,Complete Adventurer,
Danger Sense,Improved Initiative,Reroll initiative once per day,,Miniatures Handbook,
Daredevil Athlete,-,Gain +5 competence bonus on physical skill check 3/day,,Complete Scoundrel,
Daring Outlaw,"Grace +1, sneak attack +2d6","Rogue and swashbuckler levels stack for grace, dodge bonus, and sneak attack",,Complete Scoundrel,
Daring Warrior,"Grace +1, Weapon Specialization","Fighter and swashbuckler levels stack for grace, dodge bonus, and feats",Fighter Feat,Complete Scoundrel,
Dash,-,Speed +5 feet in light or no armor,,Complete Warrior,
Dash,-,Speed increases by 5 feet,,Miniatures Handbook,
Daunting Presence,"Cha 13, base attack bonus +1",Overawe enemy to make it shaken,Fighter Feat,Miniatures Handbook,
Dazzling Illusion,Spell Focus (illusion) or illusionist level 1st,Enemies within 30 feet dazzled when casting illusion spells,Wizard Feat,Complete Mage,
Deadeye Shot,"Point Blanks Shot, Precise Shot, base attack bonus +4, skirmish or sneak attack ability","Ready action to fire, denying foe Dex bonus to AC on your attack after ally hits foe",Fighter Feat,Player's Handbook II,
Deadly Defense,-,\+1d6 damage with light weapons when fighting defensively,Fighter Feat,Complete Scoundrel,
Deadly Precision,"Dex 15, base attack bonus +5",Reroll 1s on sneak attack dice,,Expanded Psionics Handbook,
Death Blow,"Improved Initiative, base attack bonus +2",Coup de grace as a standard action,,Complete Adventurer,
Deceitful,-,\+2 bonus on Disguise and Forgery checks,,Player's Handbook,
Defending Spirit,Watchful spirit class feature,"Gain an initiative reroll, +2 dodge bonus to AC after reroll",,Complete Mage,
Defense against the Supernatural,Knowledge (arcana) 2 ranks,\+1 insight bonus on saves against supernatural attacks,,Tome of Magic,
Defensive Archery,Point Blank Shot,\+4 dodge bonus against attacks of opportunity,Fighter Feat,Races of the Wild,
Defensive Strike,"Dex 13, Int 13, Combat Expertise, Dodge",\+4 bonus on attack roll after successful total defense,Fighter Feat,Complete Warrior,
Defensive Sweep,Base attack bonus +15,Foe must move or provoke attack,Fighter Feat,Player's Handbook II,
Defensive Throw,"Dex 13, Combat Reflexes, Dodge, Improved Trip, Improved Unarmed Strike",Trip attempt after foe's attack misses,,Complete Warrior,
Deflect Arrows,"Dex 13, Improved Unarmed Strike",Deflect one ranged attack per round,"Fighter Feat, Monk Feat",Player's Handbook,
Deft Hands,-,\+2 bonus on Sleight of Hand and Use Rope checks,,Player's Handbook,
Deft Opportunist,"Dex 15, Combat Reflexes",\+4 Bonus on attack rolls on attacks of opportunity,,Complete Adventurer,
Deft Opportunist,"Dex 15, Combat Reflexes",\+4 on attack roll when making attack of opportunity,,Miniatures Handbook,
Deft Strike,"Int 13, Spot 10 ranks, Combat Expertise, sneak attack",Ignore armor and natural armor,,Complete Adventurer,
Deft Strike,"Int 13, Combat Expertise, Spot 10 ranks, sneak attack +1d6",Successful Spot check allows your next attack to ignore target's armor bonuses,,Draconomicon,
Delay Potion,Knowledge (arcana) 1 rank,Delay the benefit of a potion to activate it later as a swift action,,Complete Mage,
Desert Fire,One Desert Wind strike,\+1d6 skirmish damage when using a Desert Wind strike,,Tome of Battle,
Desert Wind Dodge,"Dex 13, one Desert Wind Maneuver","Move 10 feet, +1 AC, +1 fire damage",,Tome of Battle,
Destructive Rage,Rage or frenzy ability,\+8 bonus on Strength checks to break objects,,Complete Warrior,
Devoted Bulwark,One Devoted Spirit maneuver,\+1 AC when foe damages you,,Tome of Battle,
Devoted Inquisitor,"Smite evil, sneak attack",Use smite evil and sneak attack together to daze a foe,,Complete Adventurer,
Devoted Performer,"Bardic music, smite evil",Paladin and bard levels stack for smite evil and bardic music,,Complete Adventurer,
Devoted Tracker,"Track, smite evil, wild empathy","Special mount becomes animal compaion, and paladin and ranger levels stack for smite evil and wild empathy",,Complete Adventurer,
Diehard,Endurance,Remain conscious at -1 to -9 hp.,,Player's Handbook,
Diligent,-,\+2 bonus on Appraise and Decipher Script checks,,Player's Handbook,
Disease Immunity,Constitution 13,"Immune to one disease, +2 bonus on saves against contracting all other diseases",Multiple,Heroes of Horror,
Disguise Spell,"Perform 9 ranks, bardic music",Cast spells unobtrusively as part of a performance,,Complete Adventurer,
Distracting Attack,Base attack bonus +1,Your attack gives +1 bonus on other creatures' attacks against same target,Fighter Feat,Miniatures Handbook,
Dive for Cover,Base Reflex save +4,"Make one retry on failed Reflex save, but end up prone",,Complete Adventurer,
Diverse Background,"Half-human, 1st level only",You gain a second favored class,,Races of Destiny,
Divine Denial,"Knowledge (religion) 9 ranks, Iron Will",\+2 saves against divine spells,,Exemplars of Evil,
Diving Charge,-,Gain extra damage when diving to attack while flying,,Races of the Wild,
Dodge,Dex 13,\+1 dodge bonus to AC against selected target,Fighter Feat,Player's Handbook,
Domain Focus,Access to relevant domain,\+1 caster levels for one domain,Multiple,Complete Divine,
Dorje Mastery,Manifester level 9th,Gain 4 power points to augment dorje's effects,,Complete Psionic,
Double Draconic Aura,"Character level 12th, ability to project two draconic auras",Project two draconic auras simultaneously,,Dragon Magic,
Double Hit,"Combat Reflexes, Improved Two-Weapon Fighting, Two-Weapon Fighting",Gain off-hand attack when making attack of opportunity,Fighter Feat,Miniatures Handbook,
Double Wand Wielder,"Craft Wand, Two-Weapon Fighting",Activate second wand by expending 2 additional charges,,Complete Arcane,
Draconic Archivist,Dark knowledge class feature,Dark knowledge works on constructs and dragons,,Heroes of Horror,
Draconic Aura,Character level 3rd,Draconic aura grants bonus to you and allies within 30 feet,,Dragon Magic,
Dragon Breath,"Half-dragon, 6 HD, breath weapon",Use breath weapon every 1d4 rounds,,Races of the Dragon,
Dragon Cohort,"Character level 9th, Speak Language (Draconic)",Gain the service of a loyal dragon ally,,Draconomicon,
Dragon Familiar,"Cha 13, Speak Language (Draconic), arcane spellcaster level 7th, ability to acquire a new familiar, compatible alignment",Choose wyrmling dragon as a new familiar,,Draconomicon,
Dragon Hunter ,Wis 13,Gain better defense against dragons' attacks,,Draconomicon,
Dragon Hunter Bravery,"Wis 13, Dragon Hunter",Dragons' frightful pressence less effective against you and your allies,,Draconomicon,
Dragon Hunter Defense,"Wis 13, Dragon Hunter",Gain evasion against breath weapon plus save bonus against dragons' magiccal attacks,,Draconomicon,
Dragon Steed,"Cha 13, Ride 8 ranks, Speak Language (Draconic)",Dragonnel serves as loyal mount for you,,Draconomicon,
Dragon Tail,"Dragonblood subtype, 1st level only",Gain a tail and tail attack,,Races of the Dragon,
Dragon Trainer,"Dragonblood subtype, Handle Animal 4 ranks, Speak Language (Draconic)",Train dragons and draconic creatures,,Races of the Dragon,
Dragon WIld Shape,"Wis 19, Knowledge (nature) 15 ranks, wild shape ability",You can take the form of a dragon,,Draconomicon,
Dragon Wings,"Dragonblood subtype, 1st level only",\+10 bonus on jump checks; glide speed 30 ft.,,Races of the Dragon,
Dragonbane,"Int 13, Dragonfoe, base attack bonus +6",Single attack deals extra damage against dragons,,Draconomicon,
Dragoncrafter,Knowledge (arcana) 2 ranks,You can create dragoncraft items,,Draconomicon,
Dragondoom,"Int 13, Dragonfoe, Dragonbane, base attack bonus +10",Your critical hits against dragons deal tremendous damage,,Draconomicon,
Dragonfoe,Int 13,You are more adept at attacking dragons,,Draconomicon,
Dragonfriend,"Cha 11, Speak Language (Draconic)",Good dragons regard you as an ally,,Draconomicon,
Dragonsong,"Cha 13, Knowledge (arcana) 4 ranks, Perform 6 ranks, Speak Language (Draconic)",Your verbal performances are enhanced,,Draconomicon,
Dragonthrall,Speak Langauge (Draconic),Evil dragons regard you as an ally,,Draconomicon,
Dragontouched,Cha 11,"Gain dragonblood subtype, other minor benefits",,Dragon Magic,
Dragonwrought,"Kobold, 1st level only",You are a dragonwrought kobold,,Races of the Dragon,
Dreamtelling,-,Interpret the symbolism of a dream,,Heroes of Horror,
Driving Attack,"Proficiency with selected weapon, Weapon Focus with selected weapon, Melee Weapon Mastery (piercing) Weapon Specialization with selected weapon, base attack bonus +14",Bull rush with piercing weapon attack,,Player's Handbook II,
Dual Dorje,"Craft Dorje, Two-Weapon Fighting",Fight with two dorjes at the same time,,Complete Psionic,
Dual Strike,"Improved Two-Weapon Fighting, Two-Weapon Fighting",Attack once with each hand as a standard action,Fighter Feat,Complete Adventurer,
Dwarven Armor Proficiency,"Dwarf, Armor Proficiency (heavy)",Gain proficiency with dwarf exotic armors,Fighter Feat,Races of Stone,
Eagle Claw Attack,"Wis 13, Improved Sunder, Improved Unarmed Strike",Add Wis modifier to damage against objects,,Complete Warrior,
Earth Adept,Earth Sense,\+1 bonus on damage rolls if you and your foe are touching the ground,,Races of Stone,
Earth Fist,"Dwarf, gnome, or goliath, Earth Sense, Improved Unarmed Strike",Unarmed attacks are treated as cold iron while you touch solid ground,Fighter Feat,Races of Stone,
Earth Master,"Earth Adept, Earth Sense",\+1 bonus on attack rolls if you and your foe are touching the ground,,Races of Stone,
Earth Sense,"Con 13, Wis 13",Sense creatures within 20 feet that are touching the ground,,Races of Stone,
Earth Spell,"Earth Sense, Heighten Spell",Heightened spell treated as higher level and higher caster level,,Races of Stone,
Earth's Embrace,"Str 15, Improved Grapple or improved grab, Improved Unarmed Strike",Extra damage while pinning an opponent,,Complete Warrior,
Efficient Defender,Heavy armor proficiency,"\+1 AC in light or medium armor, -1 armor check penalty",Fighter Feat,Cityscape,
Elemental Adept,Elemental mastery class feature,Cast a spell from your chosen element spontaneously,,Complete Mage,
Elemental Spellcasting,Knowledge (the planes) 2 ranks,Cast spells of chosen descriptor at +1,Multiple,Planar Handbook,
Elf Dilettante,"Elf, Int 13",\+1 bonus on all untrained skill checks,,Races of the Wild,
Elven Spell Lore,"Int 17 or elf, Knowledge (arcana) 12 ranks","Bonus on dispel attempts, alter energy type of spell",,Player's Handbook II,
Embody Energy,"Energy Substitution, Spell Focus (conjuration)",Wreathe your body with damaging energy,Multiple,Exemplars of Evil,
Empower Spell-Like Ability,-,,Stackable,Book of Vile Darkness,
Empower Supernatural Ability,"Supernatural ability, 6 HD",Empower supernatural ability 1/day,Multiple,Tome of Magic,
Empower Turning,Ability to turn or rebuke undead,Can turn more undead,,Complete Divine,
Empower Utterance,"Truespeak 9 ranks, ability to speak utterances",You can deliver more powerful utterances,,Tome of Magic,
Endurance,-,\+4 bonus on checks or saves to resist nonlethal damage,,Player's Handbook,
Enduring Ki,Ki power,Spend extra use of ki to add 1 round to duration,,Complete Scoundrel,
Energy Abjuration,Spell Focus (abjuration) or abjurer level 1st,Gain energy resistance when casting abjuration spell,Wizard Feat,Complete Mage,
Enhanced Power Sigils,"Illumian, two power sigils",Increase bonuses from power sigils by +1,,Races of Destiny,
Enlarge Supernatural Ability,"Supernatural ability, 4 HD",Enlarge supernatural ability 1/day,Multiple,Tome of Magic,
Enlarge Utterance,"Truespeak 6 ranks, ability to speak utterances",You can use utterances at greater range,,Tome of Magic,
Eschew Materials,-,Cast spells without material components,,Player's Handbook,
Evasive Maneuvers,"Caster Level 11th, evasion, Cunning Evasion, Spell Focus (illusion), ability to cast invisibility","When using evasion, you can cast invisibility as an immediate action",,Exemplars of Evil,
Evasive Reflexes,Dex 13,Instantly take 5-ft step instead of an attack of opportunity,,Tome of Battle,
Exotic Armor Proficiency,Armor Proficiency of the appropriate sort,Gain proficiency with specific exotic armor,"Fighter Feat, Multiple",Races of Stone,
Exotic Shield Proficiency,"Shield Proficiency, base attack bonus +1",Gain proficiency with specific exotic shield,Fighter Feat,Races of Stone,
Exotic Weapon Proficiency,Base attack bonus +1,No penalty on attacks with specific exotic weapon,"Fighter Feat, Multiple",Player's Handbook,
Expanded Aura of Courage,Aura of courage class feature,Your aura of courage expands to 60 feet,,Heroes of Battle,
Expanded Ki Pool,Ki power,Gain three extra uses of your ki power,,Complete Scoundrel,
Expeditious Dodge,Dex 13,Gain +2 dodge when you move 40 feet in a round,Fighter Feat,Races of the Wild,
Expel Vestige,Soul binding,Attempt to prematurely expel vestige 1/day,,Tome of Magic,
Expert Siege Engineer,Profession (siege engineer) 8 ranks,\+2 bonus on attack and damage with siege engines,Fighter Feat,Heroes of Battle,
Expert Tactician,"Dex 13, Combat Reflexes, base attack bonus +2",All allies gain +2 attack and damage bonus for a round against a target you've hit with an attack of opportunity,,Complete Adventurer,
Extend Rage,Rage or frenzy ability,Rage lasts +5 rounds,Stackable,Complete Warrior,
Extend Supernatural Ability,"Supernatural ability, 4 HD",Extend supernatural ability 1/day,Multiple,Tome of Magic,
Extend Utterance,"Truespeak 6 ranks, ability to speak utterances",One of your utterances lasts twice as long,,Tome of Magic,
Extra Contacts,Cha 11,Increase your maximum number of contacts by 4,Stackable,Cityscape,
Extra Domain Spell,"Wis 15, access to one domain spell",Cast one of your domain spells an extra time,Multiple,Miniatures Handbook,
Extra Edge,Warmage level 4th,"\+1 bonus to warmage edge ability, plus 1/4 warmage levels",,Complete Arcane,
Extra Granted Maneuver,Crusader level 1st,Ready one more maneuver from your maneuvers known,,Tome of Battle,
Extra Invocation,Ability to use lesser invocations,Learn an additional invocation of one grade less than current highest grade,Stackable,Complete Arcane,
Extra Music,Bardic music,Gain four extra uses per day of bardic music,Stackable,Complete Adventurer,
Extra Rage,Rage or frenzy ability,Number of rages per day increased by two,Stackable,Complete Warrior,
Extra Readied Maneuver,Swordsage level 1st,Ready one more maneuver from your maneuvers known,,Tome of Battle,
Extra Silence,Whisper gnome,Use racial silence ability 3/day,Stackable,Races of Stone,
Extra Slot,Caster level 4th,Gain an extra spell slot up to one level lower than current highest level,Stackable,Complete Arcane,
Extra Slot,Spellcaster level 4th+,,Stackable,Tome and Blood,
Extra Smiting,"Smite ability, base attack bonus +4",Number of smite attempts per day increased by two,Stackable,Complete Warrior,
Extra Spell,Caster level 3rd,Learn an additional spell up to one level lower than current highest level,Stackable,Complete Arcane,
Extra Spell,Spellcaster level 3rd+,,Multiple,Tome and Blood,
Extra Spell Secret,"Spell secret class ability, ability to cast 2nd level spells","Permanently Enlarge, Extend, Still, or Silence one spell",Stackable,Complete Arcane,
Extra Stunning,"Stunning Fist, base attack bonus +2",Number of stunning attacks per day increased by three,Stackable,Complete Warrior,
Extra Turning,Ability to turn or rebuke creatures,Can turn or rebuke 4 more times per day,Stackable,Player's Handbook,
Extraordinary Concentration,Concentration 15 ranks,Concentrate on a spell as a move action or swift action,,Complete Adventurer,
Extraordinary Spell Aim,Spellcraft 15 ranks,Exclude one creature from spell area,,Complete Adventurer,
